Characteritics of MPS files

|| filename || index || nb_var || nb_constr || nb_coeff || nb_var_int ||
|| scicoinor\demos\data2\bi-sc\BI-SC-7.mps || 17 || 918 || 701 || 6494 || 338 ||
|| scicoinor\demos\data2\bi-sc\BI-SC-2.mps || 18 || 924 || 717 || 6864 || 340 ||
|| scicoinor\demos\data2\bi-sc\BI-SC-17.mps || 19 || 887 || 667 || 6299 || 328 ||
|| scicoinor\demos\data2\bi-sc\BI-SC-9.mps || 20 || 924 || 706 || 6559 || 340 ||
|| scicoinor\demos\data2\bi-sc\BI-SC-19.mps || 21 || 907 || 687 || 6409 || 334 ||
|| scicoinor\demos\data2\Coral\Instances\22433.mps || 1 || 429 || 198 || 3408 || 231 ||
|| scicoinor\demos\data2\Coral\Instances\23588.mps || 2 || 368 || 137 || 3701 || 231 ||
|| scicoinor\demos\data2\Coral\Instances\aligninq.mps || 3 || 1831 || 340 || 15734 || 1830 ||
|| scicoinor\demos\data2\Coral\Instances\bc1.mps || 4 || 1751 || 1913 || 276842 || 252 ||
|| scicoinor\demos\data2\Coral\Instances\bc.mps || 5 || 1751 || 1913 || 276842 || 483 ||
|| scicoinor\demos\data2\Coral\Instances\bienst1.mps || 6 || 505 || 576 || 2184 || 28 ||
|| scicoinor\demos\data2\Coral\Instances\bienst2.mps || 7 || 505 || 576 || 2184 || 35 ||
|| scicoinor\demos\data2\Coral\Instances\binkar10_1.mps || 8 || 2298 || 1026 || 4496 || 170 ||
|| scicoinor\demos\data2\Coral\Instances\d10200.mps || 9 || 2000 || 947 || 57637 || 2000 ||
|| scicoinor\demos\data2\Coral\Instances\d20200.mps || 10 || 4000 || 1502 || 189389 || 4000 ||
|| scicoinor\demos\data2\Coral\Instances\dano3_3.mps || 11 || 13873 || 3202 || 79655 || 69 ||
|| scicoinor\demos\data2\Coral\Instances\dano3_4.mps || 12 || 13873 || 3202 || 79655 || 92 ||
|| scicoinor\demos\data2\Coral\Instances\dano3_5.mps || 13 || 13873 || 3202 || 79655 || 115 ||
|| scicoinor\demos\data2\Coral\Instances\fiball.mps || 14 || 34219 || 3707 || 104792 || 34218 ||
|| scicoinor\demos\data2\Coral\Instances\germanrr.mps || 15 || 10813 || 10779 || 175547 || 10574 ||
|| scicoinor\demos\data2\Coral\Instances\haprp.mps || 16 || 1828 || 1048 || 3628 || 1828 ||
|| scicoinor\demos\data2\Coral\Instances\leo1.mps || 17 || 6731 || 593 || 131218 || 6730 ||
|| scicoinor\demos\data2\Coral\Instances\leo2.mps || 18 || 11100 || 593 || 219959 || 11099 ||
